"","상권_코드","화장품","문구점","약국","패션잡화","의류점","과일채소","정육점","휴대폰","컴퓨터판매수리","편의점","슈퍼마켓","자동차미용","자동차수리","세탁소","여관업","피부관리실","네일숍","미용실","헬스클럽","골프연습장","당구장","노래방","인테리어","보육시설","일반의원","한의원","치과의원","예체능학원","외국어학원","입시보습학원","호프간이주점","커피음료","제과점","치킨집","패스트푸드점","분식집","양식집","일식집","중국집","한식음식점"
"827",828,52875723,74946092,456061409,355466668,1262710907,109937608,58700109,628931237,32445838,977099013,3393586137,25537007,1079035197,25600543,109038494,29007873,39410381,263060425,31518227,58913392,19542399,218278748,230403689,110668478,303077472,61225339,468238672,139376524,113409338,46696168,264140552,467911090,138607209,163155801,181476497,294627865,682875605,480516698,297196609,2935427919
"829",830,14087946,117584610,288725265,87059948,326463427,13096739,59951839,619584837,9076657,548572851,512351368,29842909,266897072,39230899,2656718,35817069,32314594,171138430,15524476,5045455,12896370,87893899,215978794,174812172,196357668,28974496,287380576,171335893,38473220,146177867,271926504,123066777,73185542,57752468,203719042,137533464,180011282,167018117,38412759,1089421183
"830",831,347065709,186996463,546267714,494304384,1538532739,259747800,208262620,673991998,64990960,1782809123,5092813942,56849137,1337309631,58886681,115147593,66719523,43797761,339355781,117393459,58913392,37186654,396940917,461197104,266556701,559782891,111727836,544812468,318964318,151882558,182692193,564424757,761094182,185389173,246102683,286387343,512464797,943205072,580587175,682575136,4365793948
"831",832,573501134,253464763,674323068,69610988,735438072,895753494,770646663,26698891,76188109,1827707114,3290239043,16945826,770759027,53886887,49000756,198975286,25693713,651017911,580050727,79881522,64741866,463478249,295720373,332914651,991296461,351355491,740160646,343414400,97718685,280772452,794344244,827505831,737963232,396494821,580951848,856193921,766774066,1318587068,601671936,5604111185
"838",839,228627712,65513602,377055695,112611412,686544727,76949639,108632216,18245099,20636212,759761499,2387845708,4725436,281532308,167293783,105432324,38967741,4320176,372507455,250780296,50752466,7746361,66380091,108976340,167456060,543970910,146939557,586080303,575411885,545532038,475107281,420270322,417492067,765050206,217784646,464175525,466925957,346166865,453292646,212506705,2698918402
"839",840,343097396,250350100,485921799,1431428314,2346030783,187533952,22931988,633009793,174383512,1589834209,3504027195,34754765,1112344795,51517347,184931816,70450301,43226273,249846072,187742510,70198112,81368291,412161053,267547809,122277194,543257737,119599271,631612465,157416018,89263336,57006848,657185341,925785087,348807209,420436173,167294726,679480250,1268650615,1011100213,551040160,5814145643
"840",841,295386616,178279548,66942051,364521173,324959234,36651475,56273073,47037411,50458229,845737973,1026985601,28825730,596672276,36961317,12653069,15276497,4452597,110465107,118745408,10710938,11917923,125192241,135698962,119166756,106262267,65017707,43218149,220386466,64440391,218643177,241376889,549268974,136240376,55888637,203805385,227376948,655359521,132540560,268696217,3392170655
"841",842,552809449,376998707,637331700,1596991554,2256772789,217725210,36484468,3544338092,103667764,2079393835,2661319406,60657302,1779031858,44012342,184931770,80065939,47613653,319629539,235323121,67109678,91035579,478374871,374402871,171009221,663381383,151053095,815324424,313948730,141505773,207479578,817298958,1094627854,398634976,449853672,336204412,901270917,1603376572,1055376400,615070208,8540136725
"842",843,287364996,744501841,482929975,74001881,365428604,116031064,154462520,51624845,229524747,1359385132,2059291145,12173375,1466967095,86040410,4503497,110460550,21914279,352279337,305462992,301224096,38413306,280715790,705498222,755195381,2153458995,185322772,586534059,696048027,710213077,773039566,537562629,812169703,526065620,463915807,581420796,855323824,1171250913,1366240737,827343603,7684483690
"843",844,132095391,72867632,539337374,22209438,359255627,144032479,517746219,7821641,75542902,819935275,1651957427,112499358,233046086,46807336,36280240,71853194,4953830,363839636,310953336,30322912,17976000,36795587,179382086,513038288,593691799,108940105,530829029,498776674,308463401,361695539,290424771,311983892,280458800,134066209,228271456,238828080,119469738,199279234,275277775,2036828425
"844",845,571101753,156403136,534192665,400010764,4806509357,17122055,23466934,81106086,24401180,2132959452,1429572530,34363079,74596888,17203084,214116848,163445910,18375315,1123677702,191575340,115567099,69918371,216810235,365888944,62355083,741111325,69273688,651581119,284250504,6032258,27237438,1582521636,1631027308,722371235,335261512,672191709,947202109,3554015905,2394154585,849888579,9591031123
"846",847,162366558,149158736,840871322,145442282,439818226,436303397,356505896,7688735,27737812,790828103,3087677582,44502897,156224911,69237497,37621750,25538082,24895268,309963218,244069366,29759666,45632183,112204916,267336709,239843719,1113061019,232434103,857403511,733847025,108073672,606078077,235245592,254477359,281322192,322605133,539524745,352813411,251748171,463588106,103133015,2667154777
"847",848,167498501,149158736,930206222,145442282,447330421,476513054,440018646,7688735,27737812,993283944,3307448751,44502897,155783781,51690550,21527858,25538082,21199513,256500919,254899404,27877944,51962964,121236136,274048723,240976190,1242491782,232434103,891464631,763553211,114991253,618230634,251034795,268223653,328324968,325595640,532813709,380830912,244760452,501891629,209371781,2709016618
"850",851,361207394,185133868,1101874236,191657319,699696693,309044874,456688304,11001227,12100366,731343946,2216630614,11189312,41236821,86617901,53111524,70650836,10353286,400288173,496330834,16870897,61434392,177560900,198896214,281037790,1702987625,364314213,979737440,591736726,87309011,291153136,321802035,292695662,474368232,310290453,590652724,440255726,260677787,598840835,223717435,2920025876
"851",852,356629451,184824009,1010868455,156022310,635177303,202129845,454865310,10712433,16566,718091429,1935366729,11189312,31600927,82637863,47319333,68378109,10353286,348933029,279335547,14989175,51270739,169267315,160970644,227417964,1702987625,357682233,880785563,576770995,87309011,289346374,293248015,230749416,474368232,226100950,566741881,340928430,215809712,408267590,138413261,2441660722
"852",853,374572586,187540353,1066409148,159145282,695185289,416949155,504859571,10768669,9724769,815827659,2936287878,15304784,88077468,73328126,53528317,44651047,20557311,384110573,296221395,24187511,65515534,178576319,268178861,175406778,1635730177,308191584,1047491184,336817085,115197398,345019438,326159269,296971971,482534275,245234975,506640395,434524667,261526102,532994145,163077147,2695351601
"853",854,401860211,254147757,1178490992,201627163,741971903,504682078,515318385,11001227,30113409,1057351158,4154761122,23663907,109128296,101237949,59174039,83451836,19606749,464013355,497948720,44748841,70644894,193799894,347981443,359809215,1803153323,387439371,1208798436,1050235453,173503690,715967881,373436839,369414422,544182512,424824190,615721929,561513119,328076452,727144906,242221601,3572887194
"864",865,132517072,137711531,563414981,59311554,364895692,247684891,162969955,22493398,39974374,1117047321,1437025583,131734376,320483629,9037028,50648219,48107202,23042812,472651519,228662229,21064141,42077113,220108314,270043050,295682214,1205123341,118950594,806536472,788391031,45557359,387075424,367769679,265473855,398269841,287799781,409091632,444238985,114541713,805807559,223717096,3356494498
"865",866,449589575,157596855,561795224,101732988,1302884195,914436303,588116380,34539239,74577473,1310332323,2482784109,120378209,208622343,20366528,190636807,67062436,22645047,494493959,231416752,56220578,47441039,226714048,526068806,323461647,1492866646,242645338,1072041746,797995750,52137397,346584250,394357207,300158382,356066564,200477262,386960984,540393073,157256993,998212126,202369359,3765756286
"866",867,176151205,138402569,577199810,63108748,373293564,271480267,181214240,27685871,94083984,1291637543,1671857535,131734376,432945701,10542096,50648219,56546339,23042812,493830487,253437930,21064141,42831210,242466783,320579126,327558862,1243948296,131835515,806536472,810727470,50387291,395627148,374067281,306026594,398269841,387234838,411531358,498420279,122472105,830358786,236032528,3663062949
"867",868,218536642,151735114,871683688,66986317,448748544,413917271,300362844,39664916,94083984,1398096467,3173770797,131734376,443457362,14573346,74448365,108043637,28785743,536674502,283654633,32734669,64317547,328409768,388651949,360618572,1484853791,244844933,896145247,940555450,61837517,501211907,463347666,336091472,489517044,397973262,508783901,609661534,156486136,1020498532,243187930,4140261769
"868",869,145329167,288814158,366612928,43427562,307107723,111622724,223002470,21348432,78541594,1182848918,1495996906,130885455,315057243,11853050,20852537,25051881,20825070,361548821,266519561,21064141,29619132,147132372,231399926,227843134,1062896826,95800001,546476618,742032502,50387291,299940046,292647278,263338875,315273470,264478172,382748639,407701678,137397669,567441326,179203460,2969749504
